,Unnamed: 0,name,online_order,book_table,food rating,votes,approx_cost(for two people),ambience rating,listed_in(type)
0,0,Jalsa,Yes,Yes,4.1/5,775,800,3.7,Buffet
1,1,Spice Elephant,Yes,No,4.1/5,787,800,5,Buffet
2,2,San Churro Cafe,Yes,No,3.8/5,918,800,3.7,Buffet
3,3,Addhuri Udupi Bhojana,No,No,3.7/5,88,300,1.2,Buffet
4,4,Grand Village,No,No,3.8/5,166,600,1.4,Buffet
5,5,Timepass Dinner,Yes,No,3.8/5,286,600,4,Buffet
6,6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,800,4.3,Buffet
7,7,Onesta,Yes,Yes,4.6/5,2556,600,3.4,Cafes
8,8,Penthouse Cafe,Yes,No,4.0/5,324,700,1.1,other
9,9,Smacznego,Yes,No,4.2/5,504,550,1.7,Cafes
10,10,Village Café,Yes,No,4.1/5,402,500,3.5,Cafes
11,11,Cafe Shuffle,Yes,Yes,4.2/5,150,600,3.5,Cafes
12,12,The Coffee Shack,Yes,Yes,4.2/5,164,500,3.5,Cafes
13,13,Caf-Eleven,No,No,4.0/5,424,450,3.6,Cafes
14,14,San Churro Cafe,Yes,No,3.8/5,918,800,2.1,Cafes
15,15,Cafe Vivacity,Yes,No,3.8/5,90,650,4.3,Cafes
16,16,Catch-up-ino,Yes,No,3.9/5,133,800,4.9,Cafes
17,17,Kirthi's Biryani,Yes,No,3.8/5,144,700,1.9,Cafes
18,18,T3H Cafe,No,No,3.9/5,93,300,2.7,Cafes
19,19,360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,1,Cafes
20,20,The Vintage Cafe,Yes,No,3.0/5,62,400,1.9,Cafes
21,21,Woodee Pizza,Yes,No,3.7/5,180,500,2.4,Cafes
22,22,Cafe Coffee Day,No,No,3.6/5,28,900,0.7,Cafes
23,23,My Tea House,Yes,No,3.6/5,62,600,4.7,Cafes
24,24,Hide Out Cafe,No,No,3.7/5,31,300,0.4,Cafes
25,25,CAFE NOVA,No,No,3.2/5,11,600,1.9,Cafes
26,26,Coffee Tindi,Yes,No,3.8/5,75,200,0.2,Cafes
27,27,Sea Green Cafe,No,No,3.3/5,4,500,4.6,Cafes
28,28,Cuppa,No,No,3.3/5,23,550,0.6,Cafes
29,29,Srinathji's Cafe,No,No,3.8/5,148,550,0.1,Cafes
30,30,Redberrys,Yes,No,4.0/5,219,600,4.7,Cafes
31,31,Foodiction,Yes,No,2.8/5,506,500,4,other
32,32,Sweet Truth,Yes,No,3.9/5,35,500,3.5,Dining
33,33,Ovenstory Pizza,Yes,No,3.9/5,172,750,4,Dining
34,34,Faasos,Yes,No,4.2/5,415,500,1.2,other
35,35,Behrouz Biryani,Yes,No,3.9/5,230,650,0.2,Dining
36,36,Fast And Fresh,Yes,No,2.8/5,91,400,2.3,Dining
37,37,Szechuan Dragon,Yes,No,4.2/5,1647,600,1,Dining
38,38,Empire Restaurant,Yes,No,4.4/5,4884,750,5,other
39,39,Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,150,4.3,Dining
40,40,Chaatimes,Yes,No,3.8/5,133,200,2,Dining
41,41,Havyaka Mess,No,No,3.9/5,28,300,3.2,Dining
42,42,McDonald's,Yes,No,3.9/5,286,500,0.2,Dining
43,43,Domino's Pizza,Yes,No,3.9/5,540,800,3.8,Dining
44,44,Onesta,Yes,Yes,4.6/5,2556,600,1.5,other
45,45,Hotboxit,No,No,3.8/5,36,400,4.6,Dining
46,46,Kitchen Garden,Yes,No,3.6/5,244,300,0.1,Dining
47,47,Recipe,Yes,No,4.0/5,804,450,1,Dining
48,48,Beijing Bites,Yes,No,3.7/5,679,850,4.2,Dining
49,49,Tasty Bytes,Yes,No,3.1/5,245,300,4.1,Dining
50,50,Petoo,No,No,3.7/5,21,450,0.3,Dining
51,51,Shree Cool Point,Yes,No,4.1/5,28,150,0.9,Dining
52,52,Corner House Ice Cream,No,No,4.3/5,345,400,0.9,Dining
53,53,Biryanis And More,Yes,No,4.0/5,618,750,4.6,Dining
54,54,Roving Feast,No,No,4.0/5,1047,450,2.8,Dining
55,55,FreshMenu,Yes,No,3.9/5,627,450,0.8,Dining
56,56,Banashankari Donne Biriyani,Yes,No,3.8/5,104,300,2.6,Dining
57,57,Wamama,Yes,Yes,4.2/5,354,800,1.3,other
58,58,Five Star Chicken,No,No,3.6/5,55,200,0.6,Dining
59,59,XO Belgian Waffle,Yes,No,3.7/5,17,400,2.4,Dining
60,60,Peppy Peppers,No,No,4.2/5,244,800,3.5,other
